1AA4A817-2392-34F8-E585-750D42354359_time (s),1AA4A817-2392-34F8-E585-750D42354359_raw_resistance,1AA4A817-2392-34F8-E585-750D42354359_calibrated_angle
6.777,1876.239990234375,44153.52633379634
6.797,2138.5,50361.68016833244
6.817,2242.571533203125,52825.235662356965
6.839,1670.1785888671875,39275.69200369459
6.859,1876.239990234375,44153.52633379634
6.879,2483.578857421875,58530.301201464674
6.9,2138.5,50361.68016833244
6.92,2242.571533203125,52825.235662356965
6.94,1956.375,46050.462388216714
6.96,2781.294189453125,65577.74462145744
6.98,2624.166748046875,61858.2628417198
7.0,2624.166748046875,61858.2628417198
7.022,2483.578857421875,58530.301201464674
7.042,2357.050048828125,55535.14266031857
7.062,2483.578857421875,58530.301201464674
7.082,630.1972045898438,14657.510892447639
7.102,12.802238464355469,42.69054755181281
7.122,12.50618839263916,35.682523760527204
7.142,12.286067008972168,30.471865020382722
7.162,11.63536548614502,15.068620134942591
7.182,11.563946723937988,13.378012928568921
7.202,11.70695972442627,16.763381167376224
7.222,11.492700576782227,11.691491822830187
7.242,11.42162799835205,10.00907939286816
7.262,11.139057159423828,3.32013265337838
7.282,11.350728034973145,8.330753063541067
7.302,11.068840980529785,1.6579927005998911
7.322,10.859206199645996,-3.304429782183149
7.342,10.859206199645996,-3.304429782183149
7.362,10.789663314819336,-4.950631684970972
7.382,10.582036018371582,-9.865533494623236
7.402,10.720288276672363,-6.592860362831971
7.422,10.789663314819336,-4.950631684970972
7.442,11.139057159423828,3.32013265337838
7.462,11.42162799835205,10.00907939286816
7.482,11.995092391967773,23.583986132851066
7.502,12.213054656982422,28.743534752345624
7.522,12.359259605407715,32.204461990187895
7.542,12.876712799072266,44.45348551196844
7.562,13.6317777633667,62.327195871384276
7.583,14.32780647277832,78.80341466334795
7.603,14.563380241394043,84.37985842332034
7.623,15.361867904663086,103.28146013142498
7.643,15.687092781066895,110.98010265544991
7.663,1670.1785888671875,39275.69200369459
7.683,2781.294189453125,65577.74462145744
7.703,1876.239990234375,44153.52633379634
7.723,2357.050048828125,55535.14266031857
7.743,2781.294189453125,65577.74462145744
7.763,2781.294189453125,65577.74462145744
7.783,1670.1785888671875,39275.69200369459
7.803,2624.166748046875,61858.2628417198
7.823,2958.0625,69762.16017885323
7.843,2242.571533203125,52825.235662356965
7.866,1410.0,33116.80904786953
7.886,13.403265953063965,56.917921035180655
7.906,13.026217460632324,47.992522739849846
7.926,12.50618839263916,35.682523760527204
7.949,12.432632446289062,33.941325661761084
7.973,12.14022159576416,27.019448610934887
7.993,11.922794342041016,21.87256464589467
8.013,11.70695972442627,16.763381167376224
8.033,11.492700576782227,11.691491822830187
8.073,11.70695972442627,16.763381167376224
8.093,11.279999732971191,6.656490259707368
8.114,11.42162799835205,10.00907939286816
8.134,11.279999732971191,6.656490259707368
8.154,11.068840980529785,1.6579927005998911
8.176,11.139057159423828,3.32013265337838
8.196,10.928915977478027,-1.6542772296100452
