C4B0890D-F795-5936-5F56-28B4BC3AA9C8_time (s),C4B0890D-F795-5936-5F56-28B4BC3AA9C8_raw_resistance
9.025,176.63255310058594
9.025,168.60986328125
9.045,160.24569702148438
9.045,156.73304748535156
9.055,175.59722900390625
9.055,174.57142639160156
9.075,197.0659942626953
9.075,195.8333282470703
9.085,322.8538513183594
9.085,328.6328125
9.105,337.64801025390625
9.105,334.5952453613281
9.115,367.49139404296875
9.115,367.49139404296875
9.135,350.3636474609375
9.135,353.67498779296875
9.145,337.64801025390625
9.145,374.7631530761719
9.164,363.94873046875
9.164,367.49139404296875
9.176,386.16217041015625
9.176,382.2946472167969
9.22,378.4955749511719
9.221,340.75
9.24,298.9064636230469
9.24,301.4130554199219
9.25,211.5
9.25,253.50625610351562
9.27,171.5500030517578
9.27,159.35621643066406
9.28,155.02101135253906
9.28,160.24569702148438
9.3,160.24569702148438
9.3,147.659912109375
9.31,153.33749389648438
9.31,136.51527404785156
9.33,132.40672302246094
9.33,133.0786590576172
9.34,133.75564575195312
9.34,131.07777404785156
9.36,125.95323944091797
9.36,122.89752960205078
9.37,114.34563446044922
9.37,110.64262390136719
9.39,109.61563873291016
9.39,108.0999984741211
9.4,105.63809204101562
9.4,102.31987762451172
9.42,100.03669738769531
9.42,100.48773193359375
9.43,93.58772277832031
9.43,93.17784118652344
9.45,80.875
9.45,79.19685363769531
9.46,82.94864654541016
9.46,81.21600341796875
9.48,80.875
9.48,77.24031066894531
9.522,77.24031066894531
9.522,73.20249938964844
9.558,72.90274047851562
9.566,72.90274047851562
9.585,72.60447692871094
9.595,72.01237487792969
9.615,72.90274047851562
9.625,72.90274047851562
9.645,72.90274047851562
9.655,71.71852111816406
9.675,71.42610931396484
9.685,70.84558868408203
9.705,70.84558868408203
9.715,70.84558868408203
9.735,70.55745697021484
9.735,70.55745697021484
9.748,70.55745697021484
9.748,69.13768005371094
9.76,69.13768005371094
9.761,69.41888427734375
9.78,68.85783386230469
9.78,71.1351318359375
9.826,71.1351318359375
9.826,70.2707290649414
9.836,68.85783386230469
9.836,64.55684661865234
9.855,64.29861450195312
9.855,64.55684661865234
9.865,64.29861450195312
9.865,65.07691955566406
9.885,66.13176727294922
9.885,65.33878326416016
9.895,65.86619567871094
9.895,66.3985824584961
9.915,66.3985824584961
9.915,65.86619567871094
9.925,66.13176727294922
9.925,66.66666412353516
9.945,67.47856903076172
9.945,67.47856903076172
9.955,68.57933044433594
9.955,69.70145416259766
9.975,75.96930694580078
9.975,75.34351348876953
9.985,74.41666412353516
9.985,75.65560913085938
10.005,80.53581237792969
10.005,86.55833435058594
10.015,85.82044219970703
10.015,86.55833435058594
